Neighborhood,Neighborhood Latitude,Neighborhood Longitude
Agincourt North,43.8080383,-79.2664391
Agincourt South-Malvern West,43.7892319,-79.2630374
Alderwood,43.6017173,-79.5452325
Annex,43.6703377,-79.407117
Banbury-Don Mills,43.7348039,-79.3572426
Bathurst Manor,43.76389295,-79.45636693710946
Bay Street Corridor,43.6644565,-79.3871893
Bayview Village,43.7691966,-79.3766617
Bayview Woods-Steeles,43.7981268,-79.3829726
Bendale,43.7535196,-79.2553355
Black Creek,43.6954005,-79.485495
Broadview North,43.6839242,-79.3569642
Caledonia-Fairbank,43.6867527,-79.4595746
Casa Loma,43.6781015,-79.409415775
Centennial Scarborough,43.7874914,-79.1507681
Church-Yonge Corridor,43.6628435,-79.3863114
Clanton Park,43.7431757,-79.4517261
Cliffcrest,43.7219387,-79.2362324
Corso Italia-Davenport,43.677954,-79.4430828
Danforth,43.6864333,-79.3003555
Danforth East York,43.6864333,-79.3003555
Don Valley Village,43.7926732,-79.3547219
Dorset Park,43.7528467,-79.282067
Dovercourt-Wallace Emerson-Junction,43.662394,-79.4465194
Dufferin Grove,43.6536319,-79.4264389
East End-Danforth,43.6684402,-79.33067
Edenbridge-Humber Valley,43.6722234,-79.5146852
Eglinton East,43.7394646,-79.2320997
Elms-Old Rexdale,43.7108139,-79.5653902
Englemount-Lawrence,43.7142417,-79.4370715
Etobicoke West Mall,43.6435491,-79.56532534553605
Flemingdon Park,43.7184315,-79.333204
Forest Hill North,43.6935586,-79.4139023
Forest Hill South,43.6935586,-79.4139023
Glenfield-Jane Heights,43.7572532,-79.5176975
Guildwood,43.7552251,-79.1982293
Henry Farm,43.7695089,-79.354296
High Park North,43.6573833,-79.470961
High Park-Swansea,43.638093,-79.4665843
Highland Creek,43.7901172,-79.1733344
Hillcrest Village,43.7996637,-79.3650189
Humber Heights-Westmount,43.68846954999999,-79.5063904344015
Humber Summit,43.7600778,-79.5717598
Ionview,43.7359904,-79.2765146
Islington-City Centre West,43.6487953,-79.5490002
Junction Area,43.6654775,-79.470352
Keelesdale-Eglinton West,43.6901578,-79.4749985
Kennedy Park,43.724878,-79.2539688
Kensington-Chinatown,43.653566999999995,-79.40549604487205
Kingsway South,43.6473811,-79.5113328
Lambton Baby Point,43.66544570000001,-79.49144059065506
L'Amoreaux,43.799003,-79.3059669
Lansing-Westgate,43.7589503,-79.4225555
Lawrence Park North,43.729199,-79.4032525
Lawrence Park South,43.729199,-79.4032525
Leaside-Bennington,43.7022249,-79.3580119
Little Portugal,43.64741325,-79.43111632546047
Long Branch,43.59200455,-79.54536450659592
Malvern,43.8091955,-79.2217008
Maple Leaf,43.7122767,-79.4901977
Markland Wood,43.63123865,-79.58543401986114
Milliken,43.8231743,-79.3017626
Morningside,43.7826012,-79.2049579
Moss Park,43.6546438,-79.3697278
Mount Dennis,43.6869597,-79.4895513
Mount Pleasant East,43.7084166,-79.3901348
Mount Pleasant West,43.7084166,-79.3901348
New Toronto,43.6007625,-79.505264
Newtonbrook East,43.7938863,-79.42567902301055
Newtonbrook West,43.7938863,-79.42567902301055
Niagara,43.6440753,-79.4086982
North Riverdale,43.6654704,-79.3525936
North St. James Town,43.6708625,-79.37279241253721
Oakridge,43.6971738,-79.2748232
Oakwood Village,43.6827255,-79.4380548
O'Connor-Parkview,43.7078416,-79.3110743
Old East York,43.6708625,-79.37279241253721
Palmerston-Little Italy,43.6600648,-79.4118056
Pelmo Park-Humberlea,43.7121949,-79.51755639837398
Pleasant View,43.787048,-79.3337137
Regent Park,43.6607056,-79.3604569
Rexdale-Kipling,43.722114149999996,-79.57229244708017
Roncesvalles,43.6514426,-79.4510381
Rosedale-Moore Park,43.6903876,-79.3832965
Rouge,43.8049304,-79.1658374
Runnymede-Bloor West Village,43.6517026,-79.4759978
Rustic,43.71336615,-79.50450373904313
Scarborough Village,43.7437422,-79.2116324
South Parkdale,43.638093,-79.4665843
South Riverdale,43.6654704,-79.3525936
St.Andrew-Windfields,18.0250856,-76.8151696
Steeles,43.8161778,-79.3145378
Stonegate-Queensway,43.616019449999996,-79.52700544999999
Tam O'Shanter-Sullivan,43.7689975,-79.30184881911154
Taylor-Massey,43.6976474,-79.3011926
The Beaches,43.6710244,-79.296712
Thorncliffe Park,43.704553,-79.3454074
Trinity-Bellwoods,43.64756465,-79.41388090266673
University,43.6561192,-79.38467
Victoria Village,43.732658,-79.3111892
West Hill,43.7689144,-79.1872905
Weston,43.7001608,-79.5162474
Wexford/Maryvale,43.7612444,-79.296855
Willowdale East,43.7615095,-79.4109234
Willowdale West,43.7615095,-79.4109234
Woburn,43.7598243,-79.2252908
Wychwood,43.682121699999996,-79.42383883756801
Yonge-Eglinton,43.7067479,-79.3983271
Yonge-St.Clair,43.6880189,-79.3945708
York University Heights,43.7587808,-79.5194336
Yorkdale-Glen Park,43.7064433,-79.4526856
